"","Title","Genres","Review Rating"
"140","The Cloth (2013)","Action| Fantasy| Horror",2.7
"141","Knights of the Damned (2017)","Action| Fantasy| Horror",4.4
"142","Phantasm: Ravager (2016)","Action| Fantasy| Horror",5.1
"143","Underworld Awakening (2012)","Action| Fantasy| Horror",6.4
"144","Empress of the Evil Dead (2012)","Action| Fantasy| Horror| Musical| Thriller",4.9
"145","Tag (2015)","Action| Fantasy| Horror| Mystery",6.2
"146","The Mortal Instruments: City of Bones (2013)","Action| Fantasy| Horror| Mystery| Romance",5.9
"147","Snake Club: Revenge of the Snake Woman (2013)","Action| Fantasy| Horror| Sci-Fi",3.1
"148","Ninja Apocalypse (2014)","Action| Fantasy| Horror| Sci-Fi",3.1
"149","Daylight's End (2016)","Action| Fantasy| Horror| Sci-Fi",5.4
"150","Frankenpimp's Revenge: The Romeo and Juliet Massacre (2016)","Action| Fantasy| Horror| Sci-Fi| Thriller",4
"151","I, Frankenstein (2014)","Action| Fantasy| Horror| Sci-Fi| Thriller",5.1
"152","Puppet Master X: Axis Rising (2012)","Action| Fantasy| Horror| Sci-Fi| War",4.3
"153","The Temple II Birth into Dakness Full movie (2016)","Action| Fantasy| Horror| Thriller",5.3
"154","Ghouls (2017)","Action| Fantasy| Horror| Thriller",4.2
"155","Avenged (2013)","Action| Fantasy| Horror| Thriller",5.6
"156","Gallowwalkers (2012)","Action| Fantasy| Horror| Thriller| Western",3.6
"157","Abraham Lincoln: Vampire Hunter (2012)","Action| Fantasy| Horror| Western",5.9
"158","Hotel Inferno (2013)","Action| Horror",4.7
"159","Bloody Chainsaw Girl (2016)","Action| Horror",4.6
"160","Deadman Inferno (2015)","Action| Horror",5.6
"161","Devils of War (2013)","Action| Horror",2
"162","Miruthan (2016)","Action| Horror",6.2
"163","Zombie Fight Club (2014)","Action| Horror",4
"164","Book of Fire (2015)","Action| Horror",5.8
"165","Toxin (2014)","Action| Horror",2.4
"166","Frost Bite (2012)","Action| Horror",3.3
"167","Asian Ghost Story (2016)","Action| Horror",3.1
"168","Aftermath (2012)","Action| Horror",5.3
"169","Sleeper (2012)","Action| Horror",3.9
"170","Flesh of my Flesh (2015)","Action| Horror",5.6
"171","The Plague (2016)","Action| Horror",7.8
"172","Survival (2013)","Action| Horror",3.4
"173","Teeth and Blood (2015)","Action| Horror",4.4
"174","She Kills (2016)","Action| Horror",5.9
"175","Dead Mine (2012)","Action| Horror",4.6
"176","Suite 313 (2017)","Action| Horror",6
"177","#Slaughterhouse (2017)","Action| Horror",8.2
"178","Legacy of Thorn (2016)","Action| Horror",5
"179","Hotel Inferno 2: The Cathedral of Pain (2017)","Action| Horror",9.5
"180","All the Devils Are Here (2014)","Action| Horror",6.7
"181","Night of the Living Dead 3D: Re-Animation (2012)","Action| Horror",3
"182","Karate Kill (2016)","Action| Horror",5.3
"183","Re-Kill (2015)","Action| Horror",5
"184","Isle of the Dead (2016)","Action| Horror",5.3
"185","Osombie (2012)","Action| Horror",3.6
"186","The Monster Project (2017)","Action| Horror",4.3
"187","Evil Feed (2013)","Action| Horror",4
"188","Blood Hunt (2017)","Action| Horror",5
"189","I Am a Hero (2015)","Action| Horror",6.9
"190","Dead Trigger (2017)","Action| Horror",8
"191","[REC] 4: Apocalypse (2014)","Action| Horror",5.4
"192","Rigor Mortis (2013)","Action| Horror",6.3
"193","The Stakelander (2016)","Action| Horror",5.3
"194","Zombies (2017)","Action| Horror",2.9
"195","Wolves (2014)","Action| Horror",5.3
"196","Navy Seals vs. Zombies (2015)","Action| Horror",3.3
"197","Mayhem (2017)","Action| Horror",7.1
"198","House on Willow Street (2016)","Action| Horror",5.3
"199","Dead Rising: Watchtower (2015)","Action| Horror",5.2
"200","Sebastian (2011)","Action| Horror| Mystery",4.9
"201","Slit Mouth Woman in LA (2014)","Action| Horror| Mystery",4.2
"202","Legend of Hell (2012)","Action| Horror| Mystery",2.5
"203","Ajin: Demi-Human (2017)","Action| Horror| Mystery",8
"204","Seventy-Nine (2013)","Action| Horror| Mystery| Sci-Fi| Thriller",3.8
"205","The Gracefield Incident (2017)","Action| Horror| Mystery| Sci-Fi| Thriller",4.1
"206","Universal Soldier: Day of Reckoning (2012)","Action| Horror| Mystery| Sci-Fi| Thriller",5
"207","The Sadist (2015)","Action| Horror| Mystery| Thriller",4.6
"208","Wer (2013)","Action| Horror| Mystery| Thriller",5.9
"209","Awaken (2015)","Action| Horror| Mystery| Thriller",3.4
"210","Videoclub (2013)","Action| Horror| Romance",4.9
"211","Vamp Bikers (2013)","Action| Horror| Romance",6.6
"212","Aliff Dalam 7 Dimensi (2016)","Action| Horror| Romance",6.1
"213","Pride and Prejudice and Zombies (2016)","Action| Horror| Romance",5.8
"214","The Mildew from Planet Xonader (2015)","Action| Horror| Sci-Fi",6.1
"215","Infected (2013)","Action| Horror| Sci-Fi",3.8
"216","Solid State (2012)","Action| Horror| Sci-Fi",2.4
"217","Raiders of the Lost Shark (2015)","Action| Horror| Sci-Fi",1.6
"218","Alpha Girls (2013)","Action| Horror| Sci-Fi",3.4
"219","Hollywood Warrioress: The Movie (2016)","Action| Horror| Sci-Fi",3.8
"220","Outpost: Rise of the Spetsnaz (2013)","Action| Horror| Sci-Fi",5.1
"221","Shark Week (2012)","Action| Horror| Sci-Fi",2.4
"222","Rise of the Dinosaurs (2013)","Action| Horror| Sci-Fi",2.3
"223","Creature (2014)","Action| Horror| Sci-Fi",3.2
"224","True Bloodthirst (2012)","Action| Horror| Sci-Fi",4.1
"225","Jurassic Prey (2015)","Action| Horror| Sci-Fi",1.7
"226","The Theta Girl (2017)","Action| Horror| Sci-Fi",9.6
"227","Infected (2013)","Action| Horror| Sci-Fi",2.8
"228","Code Red (2013)","Action| Horror| Sci-Fi",4.3
"229","Apocalypse Z (2013)","Action| Horror| Sci-Fi",2.3
"230","Sharkenstein (2016)","Action| Horror| Sci-Fi",2.4
"231","Another World (2014)","Action| Horror| Sci-Fi",5.8
"232","Bait (2012)","Action| Horror| Sci-Fi",5.2
"233","The Mind's Eye (2015)","Action| Horror| Sci-Fi",4.5
"234","The Human Race (2013)","Action| Horror| Sci-Fi",5.5
"235","Dead Rising: Endgame (2016)","Action| Horror| Sci-Fi",4.8
"236","Outpost: Black Sun (2012)","Action| Horror| Sci-Fi",5
"237","Day of Reckoning (2016)","Action| Horror| Sci-Fi",3.3
"238","Terra Formars (2016)","Action| Horror| Sci-Fi",4.8
"239","Avalanche Sharks (2014)","Action| Horror| Sci-Fi",2.3
"240","Disaster L.A. (2014)","Action| Horror| Sci-Fi",3.5
"241","The Rizen (2017)","Action| Horror| Sci-Fi",4.2
"242","Cyborg X (2016)","Action| Horror| Sci-Fi",4.6
"243","Zoombies (2016)","Action| Horror| Sci-Fi",3.4
"244","Attack of the Jurassic Shark (2012)","Action| Horror| Sci-Fi",1.5
"245","Quadrant 9EV9 (2016)","Action| Horror| Sci-Fi| Thriller",3.5
"246","Ombis: Alien Invasion (2013)","Action| Horror| Sci-Fi| Thriller",3.6
"247","The Unseen (2016)","Action| Horror| Sci-Fi| Thriller",6.4
"248","Taeter City (2012)","Action| Horror| Sci-Fi| Thriller",5
"249","Mega Shark vs. Kolossus (2015)","Action| Horror| Sci-Fi| Thriller",2.8
"250","Resident Evil: Red Falls (2013)","Action| Horror| Sci-Fi| Thriller",5.6
"251","Dead Sea (2014)","Action| Horror| Sci-Fi| Thriller",4
"252","The Colony (2013)","Action| Horror| Sci-Fi| Thriller",5.3
"253","Ozark Sharks (2016)","Action| Horror| Sci-Fi| Thriller",3.7
"254","Quadrant 9EV9 (2016)","Action| Horror| Sci-Fi| Thriller",3.5
"255","The Control Group (2014)","Action| Horror| Sci-Fi| Thriller",4.5
"256","Jaws 19 (2015)","Action| Horror| Sci-Fi| Thriller",4.8
"257","Pandemic (2016)","Action| Horror| Sci-Fi| Thriller",4.5
"258","The Purge: Anarchy (2014)","Action| Horror| Sci-Fi| Thriller",6.5
"259","Kill Command (2016)","Action| Horror| Sci-Fi| Thriller",5.7
"260","Resident Evil: Retribution (2012)","Action| Horror| Sci-Fi| Thriller",5.4
"261","The Purge: Election Year (2016)","Action| Horror| Sci-Fi| Thriller",6
"262","Morgan (2016)","Action| Horror| Sci-Fi| Thriller",5.8
"263","Resident Evil: The Final Chapter (2016)","Action| Horror| Sci-Fi| Thriller",5.6
"264","Downhill (2016)","Action| Horror| Sport| Thriller",3.5
"265","Circus of the Dead (2014)","Action| Horror| Thriller",6
"266","Hate Crime (2012)","Action| Horror| Thriller",5.1
"267","Attila (2013)","Action| Horror| Thriller",1.9
"268","Exit to Hell (2013)","Action| Horror| Thriller",3.4
"269","Jake's Road (2017)","Action| Horror| Thriller",4
"270","The Dead the Damned and the Darkness (2014)","Action| Horror| Thriller",3
"271","Slasher House 2 (2016)","Action| Horror| Thriller",5.6
"272","Survival Instinct (2016)","Action| Horror| Thriller",3.2
"273","The Living Dead (2017)","Action| Horror| Thriller",1.7
"274","6:15 (2015)","Action| Horror| Thriller",6.5
"275","Psychotic (2012)","Action| Horror| Thriller",3.9
"276","Shallow Creek Cult (2013)","Action| Horror| Thriller",4
"277","Like Lambs (2016)","Action| Horror| Thriller",8.5
"278","10 Seconds to Run (2016)","Action| Horror| Thriller",5.5
"279","After Effect (2012)","Action| Horror| Thriller",4
"280","The Hunt (2012)","Action| Horror| Thriller",4.4
"281","Trey the Movie (2013)","Action| Horror| Thriller",8
"282","Run Like Hell (2014)","Action| Horror| Thriller",3.4
"283","She Wolf (2013)","Action| Horror| Thriller",5.9
"284","Time to Kill (2014)","Action| Horror| Thriller",5.7
"285","House of Blood (2013)","Action| Horror| Thriller",6.3
"286","The Demolisher (2015)","Action| Horror| Thriller",3.4
"287","Embedded (2012)","Action| Horror| Thriller",6.8
"288","Battleground (2012)","Action| Horror| Thriller",4.3
"289","Parasites (2016)","Action| Horror| Thriller",3.9
"290","Land Shark (2017)","Action| Horror| Thriller",2.5
"291","Killbillies (2015)","Action| Horror| Thriller",5
"292","The Dead Sea (2014)","Action| Horror| Thriller",5.3
"293","Wind Walkers (2015)","Action| Horror| Thriller",3.7
"294","Streets of Vengeance (2016)","Action| Horror| Thriller",7.2
"295","Flight from Hell (2014)","Action| Horror| Thriller",3.9
"296","Dracula: The Impaler (2013)","Action| Horror| Thriller",3.5
"297","Night Wolf (2010)","Action| Horror| Thriller",4.5
"298","Rise of the Zombies (2012)","Action| Horror| Thriller",4
"299","White Coffin (2016)","Action| Horror| Thriller",4.3
"300","Five Nights at Freddy's: The Fan Movie (2017)","Action| Horror| Thriller",7.5
"301","Krampus: The Devil Returns (2016)","Action| Horror| Thriller",1.6
"302","Unnatural (2016)","Action| Horror| Thriller",4
"303","Unsullied (2014)","Action| Horror| Thriller",4.3
"304","Cut Shoot Kill (2017)","Action| Horror| Thriller",6.5
"305","Wrecker (2015)","Action| Horror| Thriller",3.5
"306","The Last Heist (2016)","Action| Horror| Thriller",3.5
"307","Krampus: The Christmas Devil (2013)","Action| Horror| Thriller",1.7
"308","Into the Grizzly Maze (2015)","Action| Horror| Thriller",5.3
"309","The Belko Experiment (2016)","Action| Horror| Thriller",6.1
"310","Residue (2017)","Action| Horror| Thriller",5.4
"311","Tank 432 (2015)","Action| Horror| Thriller",3.5
"312","Soldiers of the Damned (2015)","Action| Horror| Thriller| War",3.6
"313","MSG the Warrior: Lion Heart (2016)","Adventure| Comedy| Crime| Drama| Horror",7.8
"314","Sightseers (2012)","Adventure| Comedy| Crime| Horror| Romance",6.5
"315","Stag Hunt (2015)","Adventure| Comedy| Drama| Fantasy| Horror| Thriller",3.6
"316","Goosebumps (2015)","Adventure| Comedy| Family| Fantasy| Horror",6.3
"317","The Hybrids Family (2015)","Adventure| Comedy| Family| Horror",7
"318","The Grave Bandits (2012)","Adventure| Comedy| Fantasy| Horror",5.3
"319","School Spirits (2017)","Adventure| Comedy| Fantasy| Horror",8.1
"320","Knights of Badassdom (2013)","Adventure| Comedy| Fantasy| Horror",5.7
"321","Nosferatu vs. Father Pipecock & Sister Funk (2014)","Adventure| Comedy| Fantasy| Horror| Sci-Fi",2.4
"322","Rise of the Animals (2011)","Adventure| Comedy| Horror",3.6
"323","Wild Men (2017)","Adventure| Comedy| Horror",6.9
"324","Hermit: Monster Killer (2016)","Adventure| Comedy| Horror",6
"325","Chip & Bernie's Zomance (2015)","Adventure| Comedy| Horror",5
"326","Devil in My Ride (2013)","Adventure| Comedy| Horror",4.4
"327","Dead Before Dawn 3D (2012)","Adventure| Comedy| Horror",5.1
"328","Dave Made a Maze (2017)","Adventure| Comedy| Horror",6.2
"329","I Shall Never Return (2017)","Adventure| Comedy| Horror| Mystery",4.6
"330","Slender Man (2013)","Adventure| Comedy| Horror| Mystery| Thriller",7.8
"331","The Haunted House on Kirby Road (2016)","Adventure| Comedy| Horror| Mystery| Thriller",5.7
"332","Swamp Ape (2017)","Adventure| Comedy| Horror| Thriller",5
"333","Death Note (2017)","Adventure| Crime| Drama| Fantasy| Horror| Mystery| Thriller",4.6
"334","Gogol. Nachalo (2017)","Adventure| Crime| Horror| Mystery| Thriller",5.6
"335","The Green Inferno (2013)","Adventure| Crime| Horror| Thriller",5.3
"336","Prairie Dog (2015)","Adventure| Drama| Fantasy| Horror| Thriller",7.4
"337","The Battery (2012)","Adventure| Drama| Horror",6.4
"338","Silent Hill: Revelation (2012)","Adventure| Drama| Horror| Mystery| Thriller",5
"339","We All Fall Down (2016)","Adventure| Drama| Horror| Sci-Fi| Thriller",2.7
"340","Feed the Gods (2014)","Adventure| Drama| Horror| Thriller",3.6
"341","White Raven (2015)","Adventure| Drama| Horror| Thriller",5.3
"342","47 Meters Down (2017)","Adventure| Drama| Horror| Thriller",5.7
"343","Bone Tomahawk (2015)","Adventure| Drama| Horror| Western",7.1
"344","Ghost Goggles (2016)","Adventure| Family| Horror",6.4
"345","The Demon's Rook (2013)","Adventure| Fantasy| Horror",5.5
"346","Amethyst (2016)","Adventure| Fantasy| Horror",3.1
"347","Sleeping Beauty (2014)","Adventure| Fantasy| Horror",2.7
"348","Don't Let Me Go (2013)","Adventure| Fantasy| Horror",6.8
"349","Innocence (2014)","Adventure| Fantasy| Horror| Mystery| Romance| Thriller",4.5
"350","Firegate (2016)","Adventure| Fantasy| Horror| Mystery| Thriller",6.8
"351","The Sea Serpent (1985)","Adventure| Horror",3.5
"352","Beneath (2013)","Adventure| Horror",5.5
"353","Dead Kansas (2013)","Adventure| Horror",5.7
"354","Cub (2014)","Adventure| Horror",5.9
"355","Beyond the Gates (2016)","Adventure| Horror",5.2
"356","Savage Love (2012)","Adventure| Horror| Mystery",3.2
"357","A Dragon Arrives! (2016)","Adventure| Horror| Mystery",6.7
"358","Rum 213 (2017)","Adventure| Horror| Mystery",4.8
"359","Mumbai 125 KM 3D (2014)","Adventure| Horror| Mystery| Thriller",2.9
"360","Ten (2014)","Adventure| Horror| Mystery| Thriller",5.8
"361","The Mine (2012)","Adventure| Horror| Mystery| Thriller",3.8
"362","Second Origin (2015)","Adventure| Horror| Sci-Fi",4.5
"363","Mysterious Island (2012)","Adventure| Horror| Sci-Fi",3.5
"364","Le scaphandrier (2015)","Adventure| Horror| Sci-Fi| Thriller",4.5
"365","Dead Sunrise (2016)","Adventure| Horror| Sci-Fi| Thriller",5.7
"366","The Last Days (2013)","Adventure| Horror| Sci-Fi| Thriller",6.2
"367","Cold Skin (2017)","Adventure| Horror| Sci-Fi| Thriller",5.9
"368","Aaaah (2014)","Adventure| Horror| Thriller",5.7
"369","Dark Amazon (2014)","Adventure| Horror| Thriller",4.3
"370","Sunshine Girl and the Hunt for Black Eyed Kids (2012)","Adventure| Horror| Thriller",5.2
"371","Aaaah (2014)","Adventure| Horror| Thriller",5.7
"372","Dr Liebenstein (2014)","Adventure| Horror| Thriller",6.1
"373","One Night of Fear (2016)","Adventure| Horror| Thriller",4
"374","The Woodsman (2012)","Adventure| Horror| Thriller",6.2
"375","Feed the Devil (2015)","Adventure| Horror| Thriller",3.6
"376","Berserk: The Golden Age Arc I - The Egg of the King (2012)","Animation| Action| Adventure| Drama| Fantasy| Horror| War",7.7
"377","Berserk: The Golden Age Arc II - The Battle for Doldrey (2012)","Animation| Action| Adventure| Fantasy| Horror",7.9
"378","Berserk: The Golden Age Arc III - The Advent (2013)","Animation| Action| Adventure| Fantasy| Horror",8
"379","Blood-C: The Last Dark (2012)","Animation| Action| Adventure| Fantasy| Horror| Mystery",6.1
"380","Resident Evil: Vendetta (2017)","Animation| Action| Adventure| Horror| Mystery| Sci-Fi",6.3
"381","Naruto Shippuden the Movie: Blood Prison (2011)","Animation| Action| Comedy| Horror| Mystery| Thriller",7.4
"382","The Amazing Adventures of the Living Corpse (2012)","Animation| Action| Fantasy| Horror",3.7
"383","Night of the Living Dead: Darkest Dawn (2015)","Animation| Action| Horror",4.1
"384","Resident Evil: Damnation (2012)","Animation| Action| Horror| Sci-Fi| Thriller",6.5
"385","The Little Vampire 3D (2017)","Animation| Adventure| Comedy| Family| Fantasy| Horror",6.2
